"id","slasher_id","slashee_id","relation_tag"
6603,65090,65091,"xsub"
6604,65091,65081,"xsub"
6605,65096,65092,"sub"
6606,65098,65096,"xsub"
6607,65119,65113,"pid"
6608,65123,65124,"xsub"
6609,65127,65126,"xsub"
6610,65145,65146,"xsub"
6611,65155,65154,"xsub"
6612,65165,65167,"xsub"
6613,65168,65172,"xsub"
6614,65185,65181,"xsub"
6615,65196,65181,"xsub"
6616,65230,65228,"xsub"
6617,65238,65239,"xsub"
6618,65246,65243,"xsub"
6619,65248,65250,"xsub"
6620,65251,65255,"xsub"
6621,65260,65255,"xsub"
6622,65262,65232,"adv"
6623,65262,65255,"sub"
6624,65266,65265,"xsub"
6625,65280,65285,"xsub"
6626,65289,65290,"xsub"
6627,65293,65290,"xsub"
6628,65303,65319,"xobj"
6629,65319,65305,"xsub"
6630,65328,65334,"xsub"
6631,65337,65334,"xsub"
6632,65339,65337,"xsub"
6633,65371,65370,"xsub"
6634,65384,65392,"xsub"
6635,65392,65370,"sub"
6636,65394,65370,"sub"
6637,65402,65400,"xsub"
6638,65410,65400,"xsub"
6639,65411,65409,"obj"
6640,65412,65400,"xsub"
6641,65422,65400,"sub"
6642,65422,65402,"xadv"
6643,65436,65428,"xsub"
6644,65439,65438,"xsub"
6645,65443,65445,"xsub"
6646,65449,65445,"xsub"
6647,65450,65457,"xsub"
6648,65454,65457,"xsub"
6649,65458,65457,"xsub"
6650,65471,65468,"sub"
6651,65482,65489,"xsub"
6652,65501,65500,"xsub"
6653,65508,65505,"xsub"
6654,65509,65513,"xsub"
6655,65526,65522,"xsub"
6656,65528,65535,"xsub"
6657,65538,65537,"xsub"
6658,65567,65564,"xsub"
6659,65580,65579,"xsub"
6660,65587,65589,"xsub"
6661,65609,65606,"xsub"
6662,65623,65621,"xsub"
6663,65630,65634,"xsub"
6664,65647,65644,"xsub"
6665,65653,65649,"xsub"
6666,65660,65662,"xsub"
6667,65662,65659,"sub"
6668,65675,65674,"xsub"
6669,65683,65685,"xsub"
6670,65686,65690,"xsub"
6671,65723,65719,"xsub"
6672,65727,65729,"xsub"
6673,65745,65743,"xsub"
6674,65777,65776,"xsub"
6675,65788,65784,"xsub"
6676,65817,65813,"xsub"
6677,65819,65820,"xsub"
6678,65830,65810,"adv"
6679,65837,65835,"xsub"
6680,65856,65845,"pid"
6681,65864,65863,"xsub"
6682,65868,65859,"xsub"
6683,65874,65880,"xsub"
6684,65889,65888,"xsub"
6685,65891,65884,"xsub"
6686,65892,65890,"obj"
6687,65895,65897,"xsub"
6688,65911,65903,"sub"
6689,65911,65907,"pid"
6690,65915,65912,"xsub"
6691,65917,65923,"xsub"
6692,65928,65927,"xsub"
6693,65932,65934,"xsub"
6694,65934,65923,"sub"
6695,65937,65934,"xsub"
6696,65943,65937,"xsub"
6697,65951,65950,"xsub"
6698,65957,65961,"xsub"
6699,65975,65972,"xsub"
6700,65987,65985,"xsub"
6701,66010,66012,"xsub"
6702,66015,66005,"xsub"
6703,66023,66027,"xsub"
6704,66027,66021,"obj"
6705,66029,66014,"pid"
6706,66055,66057,"xsub"
6707,66065,66060,"xsub"
6708,66070,66069,"xsub"
6709,66076,66074,"xsub"
6710,66085,66080,"xsub"
6711,66107,66097,"xsub"
6712,66121,66117,"xsub"
6713,66122,66105,"xsub"
6714,66154,66149,"xsub"
6715,66163,66156,"xsub"
6716,66172,66177,"xsub"
6717,66178,66156,"xsub"
6718,66193,66192,"xsub"
6719,66201,66192,"xsub"
6720,66205,66202,"xsub"
6721,66227,66225,"xsub"
6722,66234,66233,"xsub"
6723,66257,66254,"xsub"
6724,66266,66254,"xsub"
6725,66274,66272,"xsub"
6726,66287,66283,"sub"
6727,66297,66299,"xsub"
6728,66303,66304,"xsub"
6729,66306,66311,"xsub"
6730,66308,66310,"xsub"
6731,66313,66311,"xsub"
6732,66322,66323,"xsub"
6733,66328,66323,"xsub"
6734,66335,66332,"xsub"
6735,66345,66341,"xsub"
6736,66346,66336,"pid"
6737,66351,66361,"xsub"
6738,66355,66352,"xsub"
6739,66383,66388,"obj"
6740,66398,66389,"xsub"
6741,66406,66403,"xsub"
6742,66413,66412,"xsub"
6743,66436,66429,"xsub"
6744,66442,66451,"xsub"
6745,66450,66451,"xsub"
6746,66462,66459,"xsub"
6747,66474,66471,"sub"
6748,66476,66474,"xsub"
6749,66477,66475,"xsub"
6750,66483,66484,"xsub"
6751,66484,66480,"xsub"
6752,66489,66490,"xsub"
6753,66490,66480,"xsub"
6754,66494,66496,"xsub"
6755,66497,66496,"xsub"
6756,66522,66519,"xsub"
6757,66526,66529,"xsub"
6758,66543,66539,"xsub"
6759,66557,66552,"xsub"
6760,66565,66562,"xsub"
6761,66568,66569,"xsub"
6762,66570,66569,"xsub"
6763,66572,66570,"xsub"
6764,66573,66571,"xsub"
6765,66588,66590,"xsub"
6766,66590,66583,"sub"
6767,66639,66617,"pid"
6768,66640,66617,"pid"
6769,66641,66617,"pid"
6770,66642,66631,"pid"
6771,66645,66643,"xsub"
6772,66653,66657,"xsub"
6773,66666,66672,"xsub"
6774,66669,66671,"xsub"
6775,66675,66672,"xsub"
6776,66676,66694,"adv"
6777,66679,66666,"xadv"
6778,66679,66667,"adv"
6779,66679,66694,"adv"
6780,66692,66689,"xsub"
6781,66700,66666,"xadv"
6782,66700,66667,"adv"
6783,66700,66679,"pid"
6784,66706,66701,"sub"
6785,66713,66715,"xsub"
6786,66736,66742,"xsub"
6787,66749,66742,"xsub"
6788,66750,66746,"xsub"
6789,66752,66756,"xsub"
6790,66768,66774,"sub"
6791,66778,66779,"xsub"
6792,66786,66783,"xsub"
6793,66790,66786,"xsub"
6794,66797,66802,"xsub"
6795,66814,66811,"xsub"
6796,66829,66830,"xsub"
6797,66830,66828,"obj"
6798,66831,66824,"pid"
6799,66848,66837,"xsub"
6800,66853,66837,"xsub"
6801,66877,66878,"xsub"
6802,66881,66903,"xadv"
6803,66903,66899,"xsub"
6804,66905,66881,"pid"
6805,66905,66903,"xadv"
6806,66906,66881,"pid"
6807,66906,66903,"xadv"
6808,66907,66881,"pid"
