"id","title","citation_part","language_tag","author","code","electronic_text_original_url","printed_text_date"
721,"Epistulae","Nil. Anc. Ep.","grc","Nilus Ancyranus","tlg4118.tlg004","http://stephanus.tlg.uci.edu/Iris/Cite?4118:004:275364","5th c."
722,"Fragmenta in epistulam ad Romanos (in catenis)","Diod. Ant. Fr.","grc","Diodorus Antiochenus","tlg4134.tlg005","http://stephanus.tlg.uci.edu/Iris/Cite?4134:005:11746","4th c."
723,"Sermo asceticus","Ephr. Syr. Serm. Asc.","grc","Ephraem Syrus","tlg4138.tlg005","http://stephanus.tlg.uci.edu/Iris/Cite?4138:005:0","4th c."
724,"De compunctione","Ephr. Syr. Comp.","grc","Ephraem Syrus","tlg4138.tlg011","http://stephanus.tlg.uci.edu/Iris/Cite?4138:011:50","4th c."
725,"Sermo in patres defunctos","Ephr. Syr. Patr. Def.","grc","Ephraem Syrus","tlg4138.tlg015","http://stephanus.tlg.uci.edu/Iris/Cite?4138:015","4th c."
726,"Hypomnesticon, sive Epistula","Ephr. Syr. Hypomn.","grc","Ephraem Syrus","tlg4138.tlg021","http://stephanus.tlg.uci.edu/Iris/Cite?4138:021:9734","4th c."
727,"Consilium de vita spiritali, ad monachum novitium","Ephr. Syr. Vit. Spir.","grc","Ephraem Syrus","tlg4138.tlg028","http://stephanus.tlg.uci.edu/Iris/Cite?4138:028:45350","4th c."
728,"Capita centum: Quomodo quis humilitatem sibi comparet","Ephr. Syr. Humil. Comp.","grc","Ephraem Syrus","tlg4138.tlg031","http://stephanus.tlg.uci.edu/Iris/Cite?4138:031:3045","4th c."
729,"Sermones paraenetici ad monachos Aegypti","Ephr. Syr. Serm. Par.","grc","Ephraem Syrus","tlg4138.tlg036","http://stephanus.tlg.uci.edu/Iris/Cite?4138:036:277337","4th c."
730,"In sanctam parasceuen, et in latronem et crucem","Ephr. Syr. Sanct. Par.","grc","Ephraem Syrus","tlg4138.tlg137","http://stephanus.tlg.uci.edu/Iris/Cite?4138:137:4874","4th c."
731,"Sermo in martyrium sancti Bonifatii magnimartyris","Ephr. Syr. Serm. St. Bonif.","grc","Ephraem Syrus","tlg4138.tlg147","http://stephanus.tlg.uci.edu/Iris/Cite?4138:147","4th c."
732,"Sermo in Ionam prophetam et de paenitentia Niniuitarum","Ephr. Syr. Serm. Jon.","grc","Ephraem Syrus","tlg4138.tlg153","http://stephanus.tlg.uci.edu/Iris/Cite?4138:153:25601","4th c."
